Department,Department-Division,PCN,Position Title,FLSA Status,Initial Hire Date,Date in Title,Salary
ECO,ECO 010 Directors Office,B.003123,Business Development Representative I,Exempt,29-Mar-2018,20-May-2021,53873.30
ECO,ECO 010 Directors Office,B.003581.1,Economic Development Project Manager,Exempt,12-Sep-2019,12-Sep-2019,109193.24
ECO,ECO 010 Directors Office,B.002150.1,Executive Assistant II,Non Exempt,16-Nov-2002,06-Jun-2019,51224.94
ECO,ECO 010 Directors Office,B.007463.1,Administrative Assistant,Non Exempt,16-Jul-2009,08-Nov-2018,42239.86
ECO,ECO 010 Directors Office,B.004389.4,Parking Operations Supervisor,Non Exempt,07-Feb-2016,11-May-2017,59997.08
ECO,ECO 010 Directors Office,B.005831.1,Business Development Coordinator,Exempt,01-Feb-2013,22-Oct-2020,87673.82
ECO,ECO 010 Directors Office,B.006894,Business Development Representative I,Exempt,01-Feb-2013,01-Feb-2013,59031.70
ECO,ECO 010 Directors Office,B.002736.1,Account Clerk III,Non Exempt,03-Aug-2017,03-Dec-2020,37939.20
ECO,ECO 010 Directors Office,B.006689.3,Strategic Growth Area Manager,Exempt,07-Jun-2016,07-Jun-2016,129542.40
ECO,ECO 010 Directors Office,B.006895,Business Development Coordinator,Exempt,16-Oct-2012,14-Feb-2019,94674.84
ECO,ECO 010 Directors Office,B.000764.3,Planner III,Exempt,01-Oct-1994,01-Dec-2009,87257.56
ECO,ECO 020 GrowSmart,B.006079.1,Grow Smart Coordinator,Exempt,16-Jan-2010,07-Aug-2016,83971.16
ECO,ECO 020 GrowSmart,B.007427,Administrative Technician,Non Exempt,01-Nov-1996,03-Jun-2021,46664.80
EMS,EMS 010 Administration,B.002093.1,EMS Chief,Exempt,16-Jul-1996,22-Jun-2016,167196.90
EMS,EMS 010 Administration,B.006051,Clerk Typist II,Non Exempt,22-Aug-2016,22-Aug-2016,32780.28
EMS,EMS 010 Administration,B.007097.2,Media and Communications Coordinator I,Non Exempt,20-May-2021,20-May-2021,42827.20
EMS,EMS 010 Administration,N.030201,EMS Medical Director,Exempt,01-Dec-1998,01-Jun-2005,18.18
EMS,EMS 010 Administration,B.002990.1,Administrative Specialist I,Non Exempt,16-Sep-2013,16-Mar-2017,45879.34
EMS,EMS 010 Administration,B.005971,Administrative Specialist I,Non Exempt,16-Apr-2013,23-Nov-2017,43986.54
EMS,EMS 010 Administration,B.003192,Executive Assistant II,Non Exempt,07-Dec-2016,24-May-2018,43716.14
EMS,EMS 020 Operations,B.000516.4,EMS Brigade Officer,Exempt,01-Sep-2002,27-Sep-2018,92217.84
EMS,EMS 020 Operations,B.000476.2,EMS Division Officer,Exempt,17-May-1986,01-May-2005,116854.66
EMS,EMS 020 Operations,B.007464,EMS Brigade Officer,Exempt,19-May-1993,27-Sep-2018,92217.84
EMS,EMS 020 Operations,B.006731.1,Storekeeper II,Non Exempt,16-Sep-2011,16-Sep-2011,39047.32
EMS,EMS 020 Operations,B.006302.2,EMS Brigade Officer,Exempt,06-Jul-2017,18-Jun-2020,89252.80
EMS,EMS 020 Operations,B.001590.2,EMS Deputy Chief,Exempt,01-Feb-2007,07-Jul-2016,130420.94
EMS,EMS 020 Operations,B.002874.1,EMS Deputy Chief,Exempt,31-Jan-2019,31-Jan-2019,118571.18
EMS,EMS 020 Operations,B.006300.2,EMS Brigade Officer,Exempt,01-Mar-2013,21-May-2020,92075.10
EMS,EMS 020 Operations,B.006299.2,EMS Brigade Officer,Exempt,01-May-2011,02-Feb-2017,92217.84
EMS,EMS 020 Operations,B.007465,EMS Division Officer,Exempt,01-Aug-2013,16-Aug-2018,101801.18
EMS,EMS 020 Operations,B.006052.1,EMS Division Officer,Exempt,07-Sep-2016,07-Sep-2016,113870.38
EMS,EMS 020 Operations,B.003103.1,EMS Division Officer,Exempt,16-Dec-2002,07-Sep-2016,113870.38
EMS,EMS 020 Operations,B.000097,Administrative Technician,Non Exempt,01-Sep-2011,08-Jun-2017,39967.20
EMS,EMS 021 Emergency Response System,B.007229,Paramedic,Non Exempt,12-Oct-2017,12-Oct-2017,60262.54
EMS,EMS 021 Emergency Response System,B.006275,Senior Paramedic,Non Exempt,22-Jul-2016,27-Aug-2020,66610.18
EMS,EMS 021 Emergency Response System,B.006274.1,EMS Captain,Non Exempt,01-Aug-2004,01-Feb-2007,83560.88
EMS,EMS 021 Emergency Response System,B.003929.2,EMS Captain,Non Exempt,01-Aug-2013,12-Sep-2019,81130.40
EMS,EMS 021 Emergency Response System,B.006292,Senior Paramedic,Non Exempt,07-Jan-2015,09-May-2019,66193.14
EMS,EMS 021 Emergency Response System,B.007098,Senior Paramedic,Non Exempt,22-Jul-2016,30-Jul-2020,66610.18
EMS,EMS 021 Emergency Response System,B.006426.1,EMS Captain,Non Exempt,01-Aug-2004,08-Nov-2018,83560.88
EMS,EMS 021 Emergency Response System,B.007597,Paramedic,Non Exempt,09-Apr-2020,09-Apr-2020,54872.48
EMS,EMS 021 Emergency Response System,B.006423,Senior Paramedic,Non Exempt,22-May-2015,02-Jul-2020,69397.12
EMS,EMS 021 Emergency Response System,B.007591,Paramedic,Non Exempt,07-Jan-2015,06-May-2021,58197.62
EMS,EMS 021 Emergency Response System,B.007594,Paramedic,Non Exempt,20-May-2021,20-May-2021,53961.96
EMS,EMS 021 Emergency Response System,B.006948.1,Senior Paramedic,Non Exempt,01-Aug-2013,01-Aug-2013,66983.28
EMS,EMS 021 Emergency Response System,B.005804.2,EMS Captain,Non Exempt,22-Jul-2016,08-Nov-2018,83560.88
EMS,EMS 021 Emergency Response System,B.006286,Senior Paramedic,Non Exempt,01-Sep-2004,01-Nov-2011,78065.00
EMS,EMS 021 Emergency Response System,B.006282,Senior Paramedic,Non Exempt,16-Jul-2000,01-Nov-2006,79578.98
EMS,EMS 021 Emergency Response System,B.007718,Paramedic,Non Exempt,29-Jul-2021,,52915.20
EMS,EMS 021 Emergency Response System,B.007715,Paramedic,Non Exempt,22-May-2014,29-Jul-2021,52915.20
EMS,EMS 021 Emergency Response System,B.006424,Senior Paramedic,Non Exempt,16-May-2010,02-Jul-2020,70450.38
EMS,EMS 021 Emergency Response System,B.006429.2,Paramedic,Non Exempt,16-Sep-2005,16-Sep-2005,68688.88
EMS,EMS 021 Emergency Response System,B.006283,Senior Paramedic,Non Exempt,01-Jan-2006,22-Nov-2014,73434.66
EMS,EMS 021 Emergency Response System,B.007099,Paramedic,Non Exempt,22-Nov-2018,22-Dec-2018,56180.80
EMS,EMS 021 Emergency Response System,B.006430.2,Senior Paramedic,Non Exempt,13-Sep-2008,02-Jul-2020,69397.12
EMS,EMS 021 Emergency Response System,B.007227,Paramedic,Non Exempt,20-May-2021,20-May-2021,53961.96
EMS,EMS 021 Emergency Response System,B.007596,Paramedic,Non Exempt,09-Apr-2020,09-Apr-2020,54872.48
EMS,EMS 021 Emergency Response System,B.007234.1,Paramedic,Non Exempt,06-Jul-2017,06-Jul-2017,60372.26
EMS,EMS 021 Emergency Response System,B.006949.1,Paramedic,Non Exempt,26-Sep-2019,26-Sep-2019,54872.48
EMS,EMS 021 Emergency Response System,B.007716,Paramedic,Non Exempt,29-Jul-2021,,52915.20
EMS,EMS 021 Emergency Response System,B.007228,Paramedic,Non Exempt,12-Oct-2017,12-Oct-2017,60262.54
EMS,EMS 021 Emergency Response System,B.006287,Senior Paramedic,Non Exempt,01-Aug-2004,01-Jun-2011,78810.94
EMS,EMS 021 Emergency Response System,B.006296,Senior Paramedic,Non Exempt,01-Aug-2004,01-Dec-2008,79293.76
EMS,EMS 021 Emergency Response System,B.006276.4,Paramedic,Non Exempt,26-Sep-2019,26-Sep-2019,54872.48
EMS,EMS 021 Emergency Response System,B.007719,Paramedic,Non Exempt,29-Jul-2021,,52915.20
EMS,EMS 021 Emergency Response System,B.007717,Paramedic,Non Exempt,29-Jul-2021,,52915.20
EMS,EMS 021 Emergency Response System,B.007100.1,EMS Brigade Officer,Exempt,26-Aug-2021,,78295.36
EMS,EMS 021 Emergency Response System,B.007714,Paramedic,Non Exempt,29-Jul-2021,,52915.20
EMS,EMS 021 Emergency Response System,B.006280.1,EMS Brigade Officer,Exempt,01-Aug-2003,22-Nov-2014,91932.62
EMS,EMS 021 Emergency Response System,B.007013.1,EMS Captain,Non Exempt,07-Jan-2015,07-Jan-2015,83560.88
EMS,EMS 021 Emergency Response System,B.007231,Paramedic,Non Exempt,02-Jul-1986,12-Oct-2017,61008.48
EMS,EMS 021 Emergency Response System,B.007713,Senior Paramedic,Non Exempt,16-Oct-2009,29-Jul-2021,67350.40
EMS,EMS 021 Emergency Response System,B.007598,Paramedic,Non Exempt,09-Apr-2020,09-Apr-2020,54872.48
EMS,EMS 021 Emergency Response System,B.006294,Paramedic,Non Exempt,23-Nov-2017,23-Nov-2017,60284.38
EMS,EMS 021 Emergency Response System,B.006281,Senior Paramedic,Non Exempt,01-Aug-2004,16-Oct-2007,79754.48
EMS,EMS 021 Emergency Response System,B.007592,Paramedic,Non Exempt,09-Apr-2020,09-Apr-2020,54872.48
EMS,EMS 021 Emergency Response System,B.007593,Paramedic,Non Exempt,09-Apr-2020,09-Apr-2020,54872.48
EMS,EMS 021 Emergency Response System,B.006278.2,Senior Paramedic,Non Exempt,22-May-2015,02-Jul-2020,69397.12
EMS,EMS 021 Emergency Response System,B.006290.3,Paramedic,Non Exempt,12-Oct-2017,12-Oct-2017,60262.54
EMS,EMS 021 Emergency Response System,B.007010.1,EMS Captain,Non Exempt,22-May-2015,18-Jun-2020,81130.14
EMS,EMS 021 Emergency Response System,B.007230,Paramedic,Non Exempt,12-Oct-2017,12-Oct-2017,60262.54
EMS,EMS 021 Emergency Response System,B.007232,Paramedic,Non Exempt,12-Oct-2017,12-Oct-2017,60262.54
EMS,EMS 021 Emergency Response System,B.007011.1,EMS Captain,Non Exempt,01-Apr-2012,07-May-2016,83560.88
EMS,EMS 021 Emergency Response System,B.006289.3,Paramedic,Non Exempt,22-Nov-2018,22-Nov-2018,56180.80
EMS,EMS 021 Emergency Response System,B.006291,Senior Paramedic,Non Exempt,16-Aug-2004,16-Sep-2007,79644.76
EMS,EMS 021 Emergency Response System,B.007101,Paramedic,Non Exempt,22-Jul-2016,22-Jul-2016,60547.76
EMS,EMS 021 Emergency Response System,B.006926.1,Senior Paramedic,Non Exempt,01-Mar-2013,06-Dec-2018,66807.52
EMS,EMS 021 Emergency Response System,B.006293.2,EMS Captain,Non Exempt,01-Aug-2004,28-Mar-2019,83560.88
EMS,EMS 030 Training,B.003650,Office Assistant II,Non Exempt,16-Jul-2005,18-Jan-2018,36150.40
EMS,EMS 030 Training,B.006288.2,Senior Paramedic,Non Exempt,15-Mar-1985,30-Mar-2017,75039.90
EMS,EMS 030 Training,B.006829,Contract Specialist,Non Exempt,25-Sep-1969,01-Aug-2011,51521.60
EMS,EMS 030 Training,B.001830,EMS Instruction Supervisor,Exempt,01-Aug-2004,16-Apr-2006,75699.00
EMS,EMS 030 Training,B.004554,EMS Instruction Supervisor,Exempt,19-Mar-1990,16-Nov-2000,75720.84
EMS,EMS 030 Training,B.006427.2,Paramedic,Non Exempt,26-Sep-2019,26-Sep-2019,54872.48
EMS,EMS 030 Training,B.006301.2,EMS Brigade Officer,Exempt,01-Aug-2004,21-May-2020,92075.10
EMS,EMS 030 Training,B.006428.1,Paramedic,Non Exempt,26-Sep-2019,26-Sep-2019,54872.48
EMS,EMS 050 Regulation and Enforcement,B.006946.3,Business Application Specialist II,Exempt,05-Aug-1991,18-Jul-2019,71255.08
EMS,EMS 050 Regulation and Enforcement,B.005962.3,Public Safety Analyst II,Exempt,28-Sep-2017,28-Sep-2017,59284.68
EMS,EMS 050 Regulation and Enforcement,B.006298.2,EMS Captain,Non Exempt,31-Jan-2019,03-Jun-2021,74032.40
EMS,EMS 060 Lifeguard Services,N.090046,Beach Lifeguard,Non Exempt,13-Jun-2019,,13.33
EMS,EMS 060 Lifeguard Services,N.090046,Beach Lifeguard,Non Exempt,25-May-2013,,13.33
EMS,EMS 060 Lifeguard Services,N.090046,Beach Lifeguard,Non Exempt,23-May-2019,,13.33
EMS,EMS 060 Lifeguard Services,N.090046,Beach Lifeguard,Non Exempt,07-Jun-2018,,13.33
EMS,EMS 060 Lifeguard Services,N.090046,Beach Lifeguard,Non Exempt,27-Nov-2019,,13.33
EMS,EMS 060 Lifeguard Services,N.090046,Beach Lifeguard,Non Exempt,20-May-2021,,13.33
EMS,EMS 060 Lifeguard Services,B.007012.2,EMS Captain,Non Exempt,22-Nov-2018,22-Nov-2018,64500.80
EMS,EMS 060 Lifeguard Services,N.090046,Beach Lifeguard,Non Exempt,21-May-2020,,13.33
EMS,EMS 060 Lifeguard Services,N.090046,Beach Lifeguard,Non Exempt,21-May-2015,,13.33
EMS,EMS 060 Lifeguard Services,N.090046,Beach Lifeguard,Non Exempt,20-May-2021,,13.33
EMS,EMS 060 Lifeguard Services,N.090046,Beach Lifeguard,Non Exempt,21-May-2020,,13.33
EMS,EMS 060 Lifeguard Services,N.090046,Beach Lifeguard,Non Exempt,20-May-2021,,13.33
EMS,EMS 060 Lifeguard Services,N.090046,Beach Lifeguard,Non Exempt,20-May-2021,,13.33
EMS,EMS 060 Lifeguard Services,N.090046,Beach Lifeguard,Non Exempt,23-May-2019,,13.33
EMS,EMS 060 Lifeguard Services,N.090046,Beach Lifeguard,Non Exempt,20-May-2021,,13.33
EMS,EMS 060 Lifeguard Services,N.090046,Beach Lifeguard,Non Exempt,03-Jun-2021,,13.33
EMS,EMS 060 Lifeguard Services,N.090046,Beach Lifeguard,Non Exempt,03-Jun-2021,,13.33
EMS,EMS 060 Lifeguard Services,N.090046,Beach Lifeguard,Non Exempt,23-May-2019,,13.33
EMS,EMS 060 Lifeguard Services,N.090046,Beach Lifeguard,Non Exempt,21-May-2020,,13.33
EMS,EMS 060 Lifeguard Services,N.090046,Beach Lifeguard,Non Exempt,25-May-2017,,13.33
EMS,EMS 060 Lifeguard Services,N.090046,Beach Lifeguard,Non Exempt,21-May-2020,,13.33
EMS,EMS 060 Lifeguard Services,N.090046,Beach Lifeguard,Non Exempt,27-Dec-2018,,13.33
EMS,EMS 060 Lifeguard Services,N.090046,Beach Lifeguard,Non Exempt,07-Jun-2018,,13.33
EMS,EMS 060 Lifeguard Services,N.090046,Beach Lifeguard,Non Exempt,13-Jun-2019,,13.33
EMS,EMS 060 Lifeguard Services,N.090046,Beach Lifeguard,Non Exempt,20-May-2021,,13.33
EMS,EMS 060 Lifeguard Services,N.090046,Beach Lifeguard,Non Exempt,20-Jun-2019,,13.33
EMS,EMS 060 Lifeguard Services,N.090046,Beach Lifeguard,Non Exempt,23-May-2019,,13.33
EMS,EMS 060 Lifeguard Services,N.090046,Beach Lifeguard,Non Exempt,24-May-2018,,13.33
EMS,EMS 060 Lifeguard Services,N.090046,Beach Lifeguard,Non Exempt,23-May-2019,,13.33
EMS,EMS 060 Lifeguard Services,N.090046,Beach Lifeguard,Non Exempt,04-Jun-2020,,13.33
EMS,EMS 060 Lifeguard Services,N.090046,Beach Lifeguard,Non Exempt,07-Jun-2018,,13.33
EMS,EMS 060 Lifeguard Services,N.090046,Beach Lifeguard,Non Exempt,03-Jun-2021,,13.33
EMS,EMS 060 Lifeguard Services,N.090046,Beach Lifeguard,Non Exempt,03-Jun-2021,,13.33
EMS,EMS 060 Lifeguard Services,N.090046,Beach Lifeguard,Non Exempt,13-Jun-2019,,13.33
EMS,EMS 060 Lifeguard Services,N.090046,Beach Lifeguard,Non Exempt,28-Jan-2020,,13.33
EMS,EMS 060 Lifeguard Services,N.090046,Beach Lifeguard,Non Exempt,04-Sep-2018,,13.33
EMS,EMS 060 Lifeguard Services,N.090046,Beach Lifeguard,Non Exempt,23-May-2019,,13.33
EMS,EMS 060 Lifeguard Services,N.090046,Beach Lifeguard,Non Exempt,21-May-2020,,13.33
EMS,EMS 060 Lifeguard Services,N.090046,Beach Lifeguard,Non Exempt,24-Oct-2018,,13.33
EMS,EMS 060 Lifeguard Services,N.090046,Beach Lifeguard,Non Exempt,20-May-2021,,13.33
EMS,EMS 060 Lifeguard Services,N.090046,Beach Lifeguard,Non Exempt,01-May-2017,,13.33
EMS,EMS 060 Lifeguard Services,N.090046,Beach Lifeguard,Non Exempt,03-Jun-2021,,13.33
EMS,EMS 060 Lifeguard Services,N.090046,Beach Lifeguard,Non Exempt,21-May-2020,,13.33
EMS,EMS 060 Lifeguard Services,N.030645,Beach Lifeguard Operations Supervisor,Non Exempt,03-Jun-2010,,21.59
EMS,EMS 060 Lifeguard Services,N.090045,Beach Lifeguard Supervisor,Non Exempt,26-May-2016,,15.98
EMS,EMS 060 Lifeguard Services,N.090046,Beach Lifeguard,Non Exempt,18-May-2016,,13.33
EMS,EMS 060 Lifeguard Services,N.090045,Beach Lifeguard Supervisor,Non Exempt,16-Aug-2012,,15.98
EMS,EMS 060 Lifeguard Services,N.090046,Beach Lifeguard,Non Exempt,04-Jun-2020,,13.33
EMS,EMS 060 Lifeguard Services,N.090045,Beach Lifeguard Supervisor,Non Exempt,26-May-2016,,15.98
EMS,EMS 060 Lifeguard Services,N.090046,Beach Lifeguard,Non Exempt,25-May-2017,,13.33
EMS,EMS 060 Lifeguard Services,N.090045,Beach Lifeguard Supervisor,Non Exempt,26-May-2016,,15.98
EMS,EMS 060 Lifeguard Services,N.090045,Beach Lifeguard Supervisor,Non Exempt,25-May-2017,,15.98
EMS,EMS 060 Lifeguard Services,N.090046,Beach Lifeguard,Non Exempt,21-May-2020,,13.33
EMS,EMS 060 Lifeguard Services,N.090045,Beach Lifeguard Supervisor,Non Exempt,21-May-2015,,15.98
EMS,EMS 060 Lifeguard Services,N.090045,Beach Lifeguard Supervisor,Non Exempt,21-May-2015,,15.98
EMS,EMS 060 Lifeguard Services,N.090046,Beach Lifeguard,Non Exempt,21-May-2020,,13.33
EMS,EMS 060 Lifeguard Services,N.090046,Beach Lifeguard,Non Exempt,21-May-2020,,13.33
EMS,EMS 060 Lifeguard Services,N.090046,Beach Lifeguard,Non Exempt,20-May-2021,,13.33
EMS,EMS 060 Lifeguard Services,N.090046,Beach Lifeguard,Non Exempt,26-May-2016,,13.33
EMS,EMS 060 Lifeguard Services,N.090046,Beach Lifeguard,Non Exempt,17-Jan-2019,,13.33
EMS,EMS 060 Lifeguard Services,N.090046,Beach Lifeguard,Non Exempt,16-Jun-2016,,13.33
EMS,EMS 060 Lifeguard Services,N.090046,Beach Lifeguard,Non Exempt,03-Jun-2021,,13.33
EMS,EMS 060 Lifeguard Services,N.090046,Beach Lifeguard,Non Exempt,03-Jun-2021,,13.33
EMS,EMS 060 Lifeguard Services,N.030645,Beach Lifeguard Operations Supervisor,Non Exempt,24-May-2012,,21.59
EMS,EMS 060 Lifeguard Services,N.090046,Beach Lifeguard,Non Exempt,13-Jun-2019,,13.33
EMS,EMS 060 Lifeguard Services,N.090046,Beach Lifeguard,Non Exempt,20-May-2021,,13.33
EMS,EMS 060 Lifeguard Services,N.090046,Beach Lifeguard,Non Exempt,20-May-2021,,13.33
EMS,EMS 060 Lifeguard Services,N.090046,Beach Lifeguard,Non Exempt,20-May-2021,,13.33
EMS,EMS 060 Lifeguard Services,N.090046,Beach Lifeguard,Non Exempt,13-Jun-2019,,13.33
EMS,EMS 060 Lifeguard Services,B.000877.3,EMS Captain,Non Exempt,22-Sep-2014,24-Oct-2019,78840.06
FIN,FIN 030 Directors Office,B.004043,Administrative Technician,Non Exempt,16-Mar-1998,01-Jan-2005,50658.40
FIN,FIN 030 Directors Office,B.006401.2,Financial Analyst,Exempt,01-Dec-1982,08-Jun-2017,106392.00
FIN,FIN 030 Directors Office,B.004224,Executive Assistant II,Non Exempt,16-Aug-2000,02-Jan-2020,48916.14
FIN,FIN 030 Directors Office,B.003434,Debt and Financial Services Administrator,Exempt,22-Dec-2014,02-Mar-2017,110711.64
FIN,FIN 030 Directors Office,B.002221.2,Finance Operations Administrator,Exempt,07-Jan-2015,24-Oct-2019,122120.70
FIN,FIN 030 Directors Office,B.001246,Director of Finance,Exempt,25-Feb-2021,25-Feb-2021,149999.98
FIN,FIN 032 Financial Systems Service,B.007276.1,Business Application Specialist II,Exempt,07-Nov-2019,07-Nov-2019,56580.68
FIN,FIN 032 Financial Systems Service,B.004372.1,Administrative Specialist II,Non Exempt,16-Sep-1995,30-Jan-2020,52875.94
FIN,FIN 032 Financial Systems Service,B.005826.1,Financial Analyst,Exempt,22-Jun-2015,22-Jun-2015,100692.80
FIN,FIN 032 Financial Systems Service,B.001685.2,Financial Analyst,Exempt,01-Feb-2018,01-Feb-2018,93995.20
FIN,FIN 032 Financial Systems Service,B.001020.4,Business Application Specialist II,Exempt,16-Jan-2008,26-Oct-2017,59908.68
FIN,FIN 033 Accounting Office,B.006839.1,Accountant III,Exempt,26-Apr-2018,26-Apr-2018,73071.96
FIN,FIN 033 Accounting Office,B.003604,Controller,Exempt,01-Aug-2006,05-Dec-2019,124837.70
FIN,FIN 033 Accounting Office,B.006523.2,Accountant IV,Exempt,28-Feb-2019,28-Jan-2021,73753.16
FIN,FIN 033 Accounting Office,B.002740,Accountant III,Exempt,16-Jun-2011,16-Jun-2011,73425.56
FIN,FIN 033 Accounting Office,B.004210,Principal Accountant,Exempt,16-Jun-2012,13-Feb-2020,94518.84
FIN,FIN 033 Accounting Office,B.000755.4,Accountant III,Exempt,16-Feb-2013,22-Jun-2017,83451.16
FIN,FIN 033 Accounting Office,B.003269.3,Administrative Technician,Non Exempt,01-Dec-1991,18-Jan-2018,50575.20
FIN,FIN 033 Accounting Office,B.007519,Financial Analyst,Exempt,07-Nov-2019,07-Nov-2019,90222.86
FIN,FIN 033 Accounting Office,B.000259.3,Accountant I,Exempt,15-Aug-2019,15-Aug-2019,48811.36
FIN,FIN 034 Payroll,B.001210.2,Payroll Technician III,Non Exempt,22-Mar-2015,27-Feb-2020,43815.20
FIN,FIN 034 Payroll,B.006980,Accountant II,Exempt,01-Feb-2018,01-Feb-2018,69910.10
FIN,FIN 034 Payroll,B.001729.1,Financial Specialist,Non Exempt,01-Jul-2008,14-Sep-2017,58304.74
FIN,FIN 034 Payroll,B.003417.2,HRIS/Payroll Analyst,Exempt,16-Jun-2009,16-Jun-2009,64150.84
FIN,FIN 034 Payroll,B.002909,Financial Analyst,Exempt,16-Jan-2007,16-Jan-2007,87089.60
FIN,FIN 034 Payroll,B.006688.1,Payroll Supervisor,Exempt,16-Jan-2010,16-Jan-2010,85754.76
FIN,FIN 034 Payroll,B.001039.1,Payroll Technician II,Non Exempt,16-Sep-2010,15-Feb-2018,41111.20
FIN,FIN 034 Payroll,B.003527.1,Payroll Technician III,Non Exempt,01-Jan-2001,01-Jul-2013,49535.20
FIN,FIN 036 Risk Management,B.001696.1,Claims Supervisor,Exempt,22-Jun-2017,03-Jun-2021,69297.54
FIN,FIN 036 Risk Management,B.000581,Risk Management Administrator,Exempt,24-Sep-2020,24-Sep-2020,93999.88
FIN,FIN 036 Risk Management,B.004137.1,Worker's Compensation Adjuster,Exempt,07-May-2015,07-May-2015,67313.48
FIN,FIN 036 Risk Management,B.003249,Claims Adjuster,Non Exempt,07-Jun-2016,06-May-2021,46384.78
FIN,FIN 036 Risk Management,B.001935,Administrative Technician,Non Exempt,01-Aug-2019,05-Nov-2020,38074.40
FIN,FIN 036 Risk Management,B.003014.2,Risk Management Analyst,Non Exempt,16-Aug-2013,26-Aug-2021,53873.30
FIN,FIN 039 Accounts Payable,B.001257.2,Account Clerk II,Non Exempt,16-Jul-2020,16-Jul-2020,31844.80
FIN,FIN 039 Accounts Payable,B.000849.2,Accounts Payable Coordinator,Exempt,01-Dec-2000,12-Sep-2019,65665.60
FIN,FIN 039 Accounts Payable,B.003901.1,Account Clerk III,Non Exempt,26-Oct-2017,26-Oct-2017,44091.06
FIN,FIN 039 Accounts Payable,B.003824.1,Account Clerk III,Non Exempt,16-Feb-2001,01-Dec-2009,45900.66
FIN,FIN 039 Accounts Payable,B.003409.1,Account Clerk II,Non Exempt,31-Jan-2019,31-Jan-2019,33612.02
FIN,FIN 039 Accounts Payable,B.004300.1,Account Clerk III,Non Exempt,16-Oct-1998,16-Oct-2003,48687.86
FIN,FIN 040 Purchasing,B.003402,Procurement Specialist I,Exempt,11-Apr-2019,11-Apr-2019,49976.16
FIN,FIN 040 Purchasing,B.003717,Procurement Specialist I,Exempt,01-Mar-2012,25-Apr-2019,55425.76
FIN,FIN 040 Purchasing,B.001521,Contracting Agent,Exempt,24-Jun-1986,01-Jun-2006,92353.56
FIN,FIN 040 Purchasing,B.001070,Procurement Specialist II,Exempt,12-Sep-2019,26-Mar-2020,59990.84
FIN,FIN 040 Purchasing,B.002723,Purchasing Agent,Exempt,05-Jul-2018,05-Jul-2018,126497.02
FIN,FIN 040 Purchasing,B.006332,Minority Business Coordinator,Exempt,01-Oct-2009,06-Jul-2017,69993.56
FIN,FIN 040 Purchasing,B.004008.3,Administrative Assistant,Non Exempt,15-Mar-2018,15-Mar-2018,37934.26
FIN,FIN 040 Purchasing,B.007520,Procurement Specialist III,Exempt,26-Sep-2019,26-Sep-2019,83278.52
FIN,FIN 040 Purchasing,B.002328,Procurement Services Coordinator,Exempt,06-May-1985,28-Feb-2019,99278.40
FIN,FIN 040 Purchasing,B.007277.3,Procurement Specialist II,Exempt,10-Sep-2020,03-Dec-2020,58468.80
FIN,FIN 040 Purchasing,B.001542.1,Procurement Specialist III,Exempt,07-Sep-2014,07-Sep-2014,65016.12
FIN,FIN 040 Purchasing,B.002696.1,Contracting Agent,Exempt,01-Apr-1999,25-Apr-2019,84636.76
FIN,FIN 040 Purchasing,B.002083.2,Account Clerk III,Non Exempt,26-Sep-2019,26-Sep-2019,37955.06
FIN,FIN 040 Purchasing,B.006744.3,Procurement Services Coordinator,Exempt,04-Oct-2011,22-Apr-2021,87594.00
FIR,FIR 010 Fire Administration,B.002444,Storekeeper III,Non Exempt,16-Oct-2008,16-Aug-2013,42130.40
FIR,FIR 010 Fire Administration,B.002948,Storekeeper II,Non Exempt,12-Aug-2021,,33467.20
FIR,FIR 010 Fire Administration,B.004220,Administrative Specialist II,Non Exempt,01-Aug-2000,03-Oct-2003,61424.74
FIR,FIR 010 Fire Administration,B.006408,Administrative Technician,Non Exempt,01-Jul-1993,16-Aug-2007,53612.00
FIR,FIR 010 Fire Administration,B.002525.4,Accountant I,Exempt,09-Apr-2020,09-Apr-2020,55701.88
FIR,FIR 010 Fire Administration,B.003953,Fire Chief,Exempt,01-Aug-1988,08-Jun-2017,173023.24
FIR,FIR 010 Fire Administration,B.003935.3,Public Safety Systems Analyst,Exempt,07-Jun-2016,08-Jun-2017,69577.56
FIR,FIR 010 Fire Administration,B.004317,Account Clerk III,Non Exempt,16-Sep-2009,01-Jan-2014,43009.46
FIR,FIR 010 Fire Administration,B.002145.2,Fire Battalion Officer,Exempt,01-Jun-1997,06-Jul-2017,102246.30
FIR,FIR 010 Fire Administration,B.004244.2,Fire Battalion Officer,Exempt,08-Jun-1998,07-Dec-2016,101653.76
FIR,FIR 010 Fire Administration,B.003863.1,Office Assistant I,Non Exempt,06-Jul-1987,01-Sep-2007,42307.20
FIR,FIR 010 Fire Administration,B.003987.1,Master Firefighter,Non Exempt,16-Feb-2007,16-Feb-2013,69775.68
FIR,FIR 010 Fire Administration,B.007556.2,Account Clerk III,Non Exempt,26-Sep-2019,26-Sep-2019,43113.46
FIR,FIR 010 Fire Administration,B.003727.5,Fire Deputy Chief,Exempt,16-Feb-1999,04-Jul-2019,132510.04
FIR,FIR 010 Fire Administration,B.004246.1,Administrative Specialist II,Non Exempt,04-Jul-2019,04-Jul-2019,52626.34
FIR,FIR 010 Fire Administration,B.003452,Executive Assistant II,Non Exempt,01-Feb-2008,22-Nov-2018,44818.54
